EXPL 4052, 24054.0, F, 08:00 AM - 10:30 AM, 3.0, EXPL 4052 - Explosives Technology & Apps (F 08:00 AM - 10:30 AM)
GEOC 5007, 23267.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOC 5007 - Hydrogeochemistry (T/R 11:00 AM - 12:15 PM)
GEOC 5012, 24390.0, MWF, 10:00 AM - 10:50 AM, 3.0, GEOC 5012 - Principles of Geochemistry (M/W/F 10:00 AM - 10:50 AM)
GEOC 5015, 24547.0, MWF, 01:00 PM - 01:50 PM, 3.0, GEOC 5015 - Geomicrobiology (M/W/F 01:00 PM - 01:50 PM)
GEOC 5062, 24389.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOC 5062 - Mineral Deposits (T/R 09:30 AM - 10:45 AM)
GEOC 5089, 24550.0, TR, 12:30 PM - 01:45 PM, 3.0, GEOC 5089 - Geofluids (T/R 12:30 PM - 01:45 PM)
GEOC 5089, 23278.0, T, 05:00 PM - 07:30 PM, 3.0, GEOC 5089 - Mineral Deposits in New Mexico (T 05:00 PM - 07:30 PM)
GEOC 5089, 23848.0, W, 01:00 PM - 01:50 PM, 1.0, GEOC 5089 - Fndmtls of Sci comput sem (W 01:00 PM - 01:50 PM)
GEOC 5089, 24560.0, W, 02:00 PM - 03:30 PM, 1.0, GEOC 5089 - Regional Tectonic Systems Sem. (W 02:00 PM - 03:30 PM)
ENTR 0189, 24216.0, R, 05:00 PM - 08:00 PM, 3.0, ENTR 0189 - Intro to Entrepreneurship (R 05:00 PM - 08:00 PM)
ENGL 1110, 23086.0, TR, 12:30 PM - 01:45 PM, 3.0, ENGL 1110 - g: Composition I (T/R 12:30 PM - 01:45 PM)
ENGL 1110, 23087.0, TR, 02:00 PM - 03:15 PM, 3.0, ENGL 1110 - g: Composition I (T/R 02:00 PM - 03:15 PM)
ENGL 1110, 23088.0, MWF, 09:00 AM - 09:50 AM, 3.0, ENGL 1110 - g: Composition I (M/W/F 09:00 AM - 09:50 AM)
ENGL 1110, 23089.0, MWF, 10:00 AM - 10:50 AM, 3.0, ENGL 1110 - g: Composition I (M/W/F 10:00 AM - 10:50 AM)
ENGL 1110, 23128.0, MWF, 12:00 PM - 12:50 PM, 3.0, ENGL 1110 - g: Composition I (M/W/F 12:00 PM - 12:50 PM)
ENGL 1110, 23129.0, MWF, 02:00 PM - 02:50 PM, 3.0, ENGL 1110 - g: Composition I (M/W/F 02:00 PM - 02:50 PM)
ENGL 1120, 23090.0, TR, 08:00 AM - 09:15 AM, 3.0, ENGL 1120 - g: Composition II (T/R 08:00 AM - 09:15 AM)
ENGL 1120, 23091.0, TR, 09:30 AM - 10:45 AM, 3.0, ENGL 1120 - g: Composition II (T/R 09:30 AM - 10:45 AM)
ENGL 1120, 23131.0, TR, 11:00 AM - 12:15 PM, 3.0, ENGL 1120 - g: Composition II (T/R 11:00 AM - 12:15 PM)
ENGL 1120, 23132.0, TR, 02:00 PM - 03:15 PM, 3.0, ENGL 1120 - g: Composition II (T/R 02:00 PM - 03:15 PM)
ENGL 3011, 24259.0, TR, 05:00 PM - 06:15 PM, 3.0, ENGL 3011 - g:Creative Writing (T/R 05:00 PM - 06:15 PM)
ENGL 3011, 24639.0, TR, 03:30 PM - 04:45 PM, 3.0, ENGL 3011 - g:Creative Writing (T/R 03:30 PM - 04:45 PM)
ENGL 3041, 23213.0, TR, 09:30 AM - 10:45 AM, 3.0, ENGL 3041 - g:Technical Writing (T/R 09:30 AM - 10:45 AM)
ENGL 3041, 23214.0, TR, 11:00 AM - 12:15 PM, 3.0, ENGL 3041 - g:Technical Writing (T/R 11:00 AM - 12:15 PM)
ENGL 3041, 23218.0, TR, 02:00 PM - 03:15 PM, 3.0, ENGL 3041 - g:Technical Writing (T/R 02:00 PM - 03:15 PM)
ENGL 3041, 23223.0, TR, 03:30 PM - 04:45 PM, 3.0, ENGL 3041 - g:Technical Writing (T/R 03:30 PM - 04:45 PM)
HYDR 5093, 24411.0, R, 04:00 PM - 05:00 PM, 1.0, HYDR 5093 - Seminar (R 04:00 PM - 05:00 PM)
HYDR 5093, 24413.0, R, 04:00 PM - 05:00 PM, 1.0, HYDR 5093 - Seminar (R 04:00 PM - 05:00 PM)
MATH 1510, 23119.0, MWF, 11:00 AM - 11:50 AM, 4.0, MATH 1510 - g: Calculus I (M/W/F 11:00 AM - 11:50 AM)
MATH 1510, 23064.0, MWF, 02:00 PM - 02:50 PM, 4.0, MATH 1510 - g: Calculus I (M/W/F 02:00 PM - 02:50 PM)
MATH 1510, 23120.0, MWF, 01:00 PM - 01:50 PM, 4.0, MATH 1510 - g: Calculus I (M/W/F 01:00 PM - 01:50 PM)
MATH 1520, 23067.0, MWF, 11:00 AM - 12:15 PM, 4.0, MATH 1520 - g: Calculus II (M/W/F 11:00 AM - 12:15 PM)
MATH 1520, 23068.0, MWF, 12:35 PM - 01:50 PM, 4.0, MATH 1520 - g: Calculus II (M/W/F 12:35 PM - 01:50 PM)
MATH 1520A, 24603.0, MWF, 07:55 AM - 08:55 AM, 4.0, MATH 1520A - Calc II Ext (pt 1)(9/16-12/16) (M/W/F 07:55 AM - 08:55 AM)
MATH 1520B, 23389.0, TR, 08:00 AM - 09:15 AM, 2.0, MATH 1520B - g: Calc II Extended (Part 2) (T/R 08:00 AM - 09:15 AM)
MATH 2350, 23071.0, MWF, 10:00 AM - 10:50 AM, 3.0, MATH 2350 - Statistical Methods (M/W/F 10:00 AM - 10:50 AM)
MATH 2420, 23070.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 2420 - Applied Linear Algebra (T/R 09:30 AM - 10:45 AM)
MATH 2532, 23125.0, MWF, 11:00 AM - 12:05 PM, 4.0, MATH 2532 - Calculus III (M/W/F 11:00 AM - 12:05 PM)
MATH 2532, 23069.0, MWF, 12:45 PM - 01:50 PM, 4.0, MATH 2532 - Calculus III (M/W/F 12:45 PM - 01:50 PM)
MATH 3035, 23406.0, TR, 12:30 PM - 01:45 PM, 3.0, MATH 3035 - Ordinary Differential Equation (T/R 12:30 PM - 01:45 PM)
MATH 3035, 23407.0, MWF, 09:00 AM - 09:50 AM, 3.0, MATH 3035 - Ordinary Differential Equation (M/W/F 09:00 AM - 09:50 AM)
MATH 3035L, 23408.0, W, 04:00 PM - 05:15 PM, 1.0, MATH 3035L - ODE Computer Lab (W 04:00 PM - 05:15 PM)
MATH 3036, 23410.0, TR, 11:00 AM - 12:15 PM, 3.0, MATH 3036 - Intro to PDE's (T/R 11:00 AM - 12:15 PM)
MATH 3052, 23413.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 3052 - Basic Concepts of Mathematics (T/R 09:30 AM - 10:45 AM)
MATH 3072, 23415.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 3072 - Basic Concepts of Analysis (T/R 09:30 AM - 10:45 AM)
MATH 3082, 23417.0, TR, 02:00 PM - 03:15 PM, 3.0, MATH 3082 - Probability and Statistics (T/R 02:00 PM - 03:15 PM)
MENG 5004, 24107.0, TR, 02:00 PM - 03:15 PM, 3.0, MENG 5004 - Adv. Mechanics of Materials (T/R 02:00 PM - 03:15 PM)
MENG 5004, 24109.0, TR, 02:00 PM - 03:15 PM, 3.0, MENG 5004 - Adv. Mechanics of Materials (T/R 02:00 PM - 03:15 PM)
MENG 5017, 24427.0, TR, 11:00 AM - 12:15 PM, 3.0, MENG 5017 - Adv Finite Element Analysis (T/R 11:00 AM - 12:15 PM)
MENG 5017, 24428.0, TR, 11:00 AM - 12:15 PM, 3.0, MENG 5017 - Adv Finite Element Analysis (T/R 11:00 AM - 12:15 PM)
MENG 5035, 24434.0, TR, 09:30 AM - 10:45 AM, 3.0, MENG 5035 - Drones (T/R 09:30 AM - 10:45 AM)
MENG 5035, 24435.0, TR, 09:30 AM - 10:45 AM, 3.0, MENG 5035 - Drones (T/R 09:30 AM - 10:45 AM)
MENG 5041, 24436.0, TR, 08:00 AM - 09:15 AM, 3.0, MENG 5041 - Vibrations in an Elastic Cont (T/R 08:00 AM - 09:15 AM)
MENG 5041, 24437.0, TR, 08:00 AM - 09:15 AM, 3.0, MENG 5041 - Vibrations in an Elastic Cont (T/R 08:00 AM - 09:15 AM)
MENG 5043, 24047.0, TR, 11:00 AM - 12:15 PM, 3.0, MENG 5043 - Control System Design (T/R 11:00 AM - 12:15 PM)
MENG 5043, 24051.0, TR, 11:00 AM - 12:15 PM, 3.0, MENG 5043 - Control System Design (T/R 11:00 AM - 12:15 PM)
MENG 5045, 24053.0, TR, 09:30 AM - 10:45 AM, 3.0, MENG 5045 - Introduction to Explosives Eng (T/R 09:30 AM - 10:45 AM)
MENG 5045, 24049.0, TR, 09:30 AM - 10:45 AM, 3.0, MENG 5045 - Introduction to Explosives Eng (T/R 09:30 AM - 10:45 AM)
MENG 5046, 24055.0, F, 11:00 AM - 01:50 PM, 3.0, MENG 5046 - Detonation Theory (F 11:00 AM - 01:50 PM)
MENG 5046, 24056.0, F, 11:00 AM - 01:50 PM, 3.0, MENG 5046 - Detonation Theory (F 11:00 AM - 01:50 PM)
MENG 5051, 24431.0, MWF, 08:00 AM - 08:50 AM, 3.0, MENG 5051 - Optimal Control Systems (M/W/F 08:00 AM - 08:50 AM)
MENG 5052, 24057.0, F, 08:00 AM - 10:30 AM, 3.0, MENG 5052 - Explosives Technology & Apps (F 08:00 AM - 10:30 AM)
MENG 5052, 24031.0, F, 08:00 AM - 10:30 AM, 3.0, MENG 5052 - Explosives Technology & Apps (F 08:00 AM - 10:30 AM)
MENG 5080, 24438.0, TR, 02:00 PM - 03:15 PM, 3.0, MENG 5080 - Comput Fluid Dyn & React Flow (T/R 02:00 PM - 03:15 PM)
MENG 5080, 24439.0, TR, 02:00 PM - 03:15 PM, 3.0, MENG 5080 - Comput Fluid Dyn & React Flow (T/R 02:00 PM - 03:15 PM)
MENG 5085, 24032.0, M, 11:00 AM - 11:50 AM, 1.0, MENG 5085 - Graduate Faculty Seminar (M 11:00 AM - 11:50 AM)
MENG 5085, 24034.0, M, 11:00 AM - 11:50 AM, 1.0, MENG 5085 - Graduate Faculty Seminar (M 11:00 AM - 11:50 AM)
GEOL 1101, 23155.0, M, 12:00 PM - 12:50 PM, 1.0, GEOL 1101 - Earth Science as a Profession (M 12:00 PM - 12:50 PM)
GEOL 1110, 23096.0, MWF, 11:00 AM - 11:50 AM, 3.0, GEOL 1110 - Earth Processes (M/W/F 11:00 AM - 11:50 AM)
GEOL 1110L, 24535.0, T, 02:00 PM - 05:00 PM, 1.0, GEOL 1110L - Earth Processes Lab (T 02:00 PM - 05:00 PM)
GEOL 1110L, 24536.0, W, 02:00 PM - 05:00 PM, 1.0, GEOL 1110L - Earth Processes Lab (W 02:00 PM - 05:00 PM)
GEOL 1110L, 24537.0, R, 01:00 PM - 04:00 PM, 1.0, GEOL 1110L - Earth Processes Lab (R 01:00 PM - 04:00 PM)
GEOL 2320, 23097.0, MWF, 10:00 AM - 10:50 AM, 4.0, GEOL 2320 - Erth Surf Processes & Landform (M/W/F 10:00 AM - 10:50 AM)
GEOL 2340, 23102.0, TR, 11:00 AM - 12:15 PM, 4.0, GEOL 2340 - Intro to Erth Struc & Comp (T/R 11:00 AM - 12:15 PM)
GEOL 3080, 23815.0, MWF, 12:00 PM - 12:50 PM, 4.0, GEOL 3080 - Igneous&Metamorphic Petrology (M/W/F 12:00 PM - 12:50 PM)
GEOL 3089, 24541.0, M, 01:00 PM - 01:50 PM, 1.0, GEOL 3089 - Earth Science Math Review (M 01:00 PM - 01:50 PM)
GEOL 4007, 23823.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOL 4007 - Hydrogeochemistry (T/R 11:00 AM - 12:15 PM)
GEOL 4013, 24540.0, MWF, 01:00 PM - 01:50 PM, 3.0, GEOL 4013 - Watershed Dynamics & Ecohydro (M/W/F 01:00 PM - 01:50 PM)
GEOL 4015, 24544.0, MWF, 01:00 PM - 01:50 PM, 3.0, GEOL 4015 - Geomicrobiology (M/W/F 01:00 PM - 01:50 PM)
GEOL 4040, 23825.0, MWF, 11:00 AM - 11:50 AM, 3.0, GEOL 4040 - Hydro. Theory & Field Methods (M/W/F 11:00 AM - 11:50 AM)
GEOL 4040, 23827.0, MWF, 11:00 AM - 11:50 AM, 3.0, GEOL 4040 - Hydro. Theory & Field Methods (M/W/F 11:00 AM - 11:50 AM)
GEOL 4040L, 23829.0, M, 02:00 PM - 05:00 PM, 1.0, GEOL 4040L - Hydro Theory & Fld Method Lab (M 02:00 PM - 05:00 PM)
CYBS 5002, 23684.0, M, 06:00 PM - 09:00 PM, 3.0, CYBS 5002 - Cybersecurity Ethics and Law (M 06:00 PM - 09:00 PM)
CYBS 5005, 23685.0, TR, 02:00 PM - 03:15 PM, 3.0, CYBS 5005 - Data Science for Cybersecurity (T/R 02:00 PM - 03:15 PM)
CYBS 5041, 23715.0, TR, 11:00 AM - 12:15 PM, 3.0, CYBS 5041 - Advanced Cryptography (T/R 11:00 AM - 12:15 PM)
CYBS 5041, 23686.0, TR, 11:00 AM - 12:15 PM, 3.0, CYBS 5041 - Advanced Cryptography (T/R 11:00 AM - 12:15 PM)
CYBS 5061, 23689.0, T, 03:30 PM - 06:30 PM, 3.0, CYBS 5061 - Foundations of Cybersecurity (T 03:30 PM - 06:30 PM)
ES 110, 23015.0, MW, 12:00 PM - 12:50 PM, 2.0, ES 110 - Intro to Engineering Design (M/W 12:00 PM - 12:50 PM)
ES 201, 23003.0, TR, 12:30 PM - 01:45 PM, 3.0, ES 201 - Statics (T/R 12:30 PM - 01:45 PM)
ES 201, 23008.0, MWF, 10:00 AM - 10:50 AM, 3.0, ES 201 - Statics (M/W/F 10:00 AM - 10:50 AM)
ES 216, 23001.0, TR, 11:00 AM - 12:15 PM, 3.0, ES 216 - Engineering Fluid Mechanics (T/R 11:00 AM - 12:15 PM)
ES 216, 23018.0, MWF, 11:00 AM - 11:50 AM, 3.0, ES 216 - Engineering Fluid Mechanics (M/W/F 11:00 AM - 11:50 AM)
ES 3002, 23325.0, TR, 08:00 AM - 09:15 AM, 3.0, ES 3002 - Mechanics of Materials (T/R 08:00 AM - 09:15 AM)
ES 3002, 24260.0, TR, 09:30 AM - 10:45 AM, 3.0, ES 3002 - Mechanics of Materials (T/R 09:30 AM - 10:45 AM)
ES 3003, 23326.0, TR, 09:30 AM - 10:45 AM, 3.0, ES 3003 - Engineering Dynamics (T/R 09:30 AM - 10:45 AM)
ES 3016, 23327.0, TR, 11:00 AM - 12:15 PM, 3.0, ES 3016 - Engineering Economics (T/R 11:00 AM - 12:15 PM)
ES 3032, 24363.0, TR, 09:30 AM - 10:45 AM, 3.0, ES 3032 - Electrical Engineering (T/R 09:30 AM - 10:45 AM)
ES 3047, 23330.0, TR, 12:30 PM - 01:45 PM, 3.0, ES 3047 - Thermodynamics (T/R 12:30 PM - 01:45 PM)
ES 3047, 23331.0, MWF, 09:00 AM - 09:50 AM, 3.0, ES 3047 - Thermodynamics (M/W/F 09:00 AM - 09:50 AM)
ES 3050, 23332.0, MWF, 10:00 AM - 10:50 AM, 3.0, ES 3050 - Heat & Mass Transfer (M/W/F 10:00 AM - 10:50 AM)
ES 4005L, 23333.0, F, 02:00 PM - 04:00 PM, 1.0, ES 4005L - Inst.,Meas.,& Proc. Cont. LabI (F 02:00 PM - 04:00 PM)
ECON 2120, 23153.0, TR, 12:30 PM - 01:45 PM, 3.0, ECON 2120 - Principles of Microeconomics (T/R 12:30 PM - 01:45 PM)
EMGT 5001, 23655.0, W, 05:00 PM - 08:00 PM, 3.0, EMGT 5001 - Mgt Science for Engr Mgt (W 05:00 PM - 08:00 PM)
EMGT 5001, 24589.0, W, 05:00 PM - 08:00 PM, 3.0, EMGT 5001 - Mgt Science for Engr Mgt (W 05:00 PM - 08:00 PM)
EMGT 5002, 24588.0, T, 05:00 PM - 08:00 PM, 3.0, EMGT 5002 - Financial Management (T 05:00 PM - 08:00 PM)
EMGT 5002, 24587.0, T, 05:00 PM - 08:00 PM, 3.0, EMGT 5002 - Financial Management (T 05:00 PM - 08:00 PM)
EMGT 5002, 24590.0, T, 05:00 PM - 08:00 PM, 3.0, EMGT 5002 - Financial Management (T 05:00 PM - 08:00 PM)
EMGT 5004, 24214.0, T, 05:00 PM - 08:00 PM, 3.0, EMGT 5004 - Engineering Statistics (T 05:00 PM - 08:00 PM)
EMGT 5004, 23749.0, T, 05:00 PM - 08:00 PM, 3.0, EMGT 5004 - Engineering Statistics (T 05:00 PM - 08:00 PM)
EMGT 5006, 24215.0, R, 05:00 PM - 08:00 PM, 3.0, EMGT 5006 - Managing HR in Tech Organizati (R 05:00 PM - 08:00 PM)
EMGT 5006, 23658.0, R, 05:00 PM - 08:00 PM, 3.0, EMGT 5006 - Managing HR in Tech Organizati (R 05:00 PM - 08:00 PM)
EMGT 5007, 23661.0, M, 05:00 PM - 08:00 PM, 3.0, EMGT 5007 - Technology Entrepreneurship (M 05:00 PM - 08:00 PM)
EMGT 5089, 24229.0, W, 05:00 PM - 08:00 PM, 3.0, EMGT 5089 - Introduction to Space Industry (W 05:00 PM - 08:00 PM)
MTLS 5099, 24376.0, TR, 09:30 AM - 10:45 AM, 3.0, MTLS 5099 - Intro to Quantum Materials	 (T/R 09:30 AM - 10:45 AM)
MTLS 5099, 24382.0, TR, 09:30 AM - 10:45 AM, 3.0, MTLS 5099 - Intro to Quantum Materials (T/R 09:30 AM - 10:45 AM)
EE 162, 23303.0, T, 02:00 PM - 04:50 PM, 1.0, EE 162 - Basic Electronics Lab II (T 02:00 PM - 04:50 PM)
EE 162, 23921.0, W, 02:00 PM - 04:50 PM, 1.0, EE 162 - Basic Electronics Lab II (W 02:00 PM - 04:50 PM)
EE 211, 23922.0, MWF, 10:00 AM - 10:50 AM, 3.0, EE 211 - Circuits & Signals I (M/W/F 10:00 AM - 10:50 AM)
EE 271, 23923.0, MWF, 11:00 AM - 11:50 AM, 3.0, EE 271 - Mathematical Engineering (M/W/F 11:00 AM - 11:50 AM)
EE 3011, 23305.0, MWF, 09:00 AM - 09:50 AM, 3.0, EE 3011 - Signals and Linear Systems (M/W/F 09:00 AM - 09:50 AM)
EE 3051, 23850.0, MWF, 01:00 PM - 01:50 PM, 3.0, EE 3051 - Microcontrollers (M/W/F 01:00 PM - 01:50 PM)
EE 3053, 23852.0, MWF, 10:00 AM - 10:50 AM, 3.0, EE 3053 - Analog Electronics (M/W/F 10:00 AM - 10:50 AM)
EE 3061, 23853.0, MF, 02:00 PM - 04:50 PM, 2.0, EE 3061 - Mixed Electronics Lab I (M/F 02:00 PM - 04:50 PM)
EE 4011, 23915.0, TR, 11:00 AM - 12:15 PM, 3.0, EE 4011 - Stochastic Processes and Comm (T/R 11:00 AM - 12:15 PM)
EE 4031, 23917.0, MWF, 11:00 AM - 11:50 AM, 3.0, EE 4031 - Electrodynamics (M/W/F 11:00 AM - 11:50 AM)
EE 4081, 23919.0, MW, 12:00 PM - 12:50 PM, 3.0, EE 4081 - Capstone Design I (M/W 12:00 PM - 12:50 PM)
EE 5021, 24459.0, MWF, 01:00 PM - 01:50 PM, 4.0, EE 5021 - Measurement & Instrumentation (M/W/F 01:00 PM - 01:50 PM)
EE 5070, 24628.0, F, 08:00 AM - 11:00 AM, 4.0, EE 5070 - Intro to Quant Elect & Amp Sys (F 08:00 AM - 11:00 AM)
EDUC 3040, 23313.0, MW, 05:15 PM - 06:30 PM, 3.0, EDUC 3040 - Concepts in Education (M/W 05:15 PM - 06:30 PM)
EDUC 3040, 23314.0, MW, 05:15 PM - 06:30 PM, 3.0, EDUC 3040 - Concepts in Education (M/W 05:15 PM - 06:30 PM)
EDUC 3099, 24684.0, F, 02:00 PM - 04:00 PM, 2.0, EDUC 3099 - MATCH Mentoring and Leadership (F 02:00 PM - 04:00 PM)
EDUC 4001, 23315.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 4001 - Effective Reading for Div Lear (T/R 05:00 PM - 06:15 PM)
EDUC 4001, 23316.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 4001 - Effective Reading for Div Lear (T/R 05:00 PM - 06:15 PM)
EDUC 4014, 23318.0, M, 04:10 PM - 05:10 PM, 3.0, EDUC 4014 - Student Teaching Seminar (M 04:10 PM - 05:10 PM)
EDUC 5001, 23319.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 5001 - Effective Reading for Div Lear (T/R 05:00 PM - 06:15 PM)
EDUC 5001, 23320.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 5001 - Effective Reading for Div Lear (T/R 05:00 PM - 06:15 PM)
EDUC 5002, 23321.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 5002 - Effective Reading for Div Lear (T/R 05:00 PM - 06:15 PM)
EDUC 5002, 23322.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 5002 - Effective Reading for Div Lear (T/R 05:00 PM - 06:15 PM)
EDUC 5011, 23323.0, M, 04:10 PM - 05:10 PM, 3.0, EDUC 5011 - Supervised Field Experience (M 04:10 PM - 05:10 PM)
GEOC 5093, 24180.0, R, 04:00 PM - 05:00 PM, 1.0, GEOC 5093 - Seminar (R 04:00 PM - 05:00 PM)
CSE 101, 23009.0, MW, 10:00 AM - 10:50 AM, 2.0, CSE 101 - Intro Comp Sci & Info Tech (M/W 10:00 AM - 10:50 AM)
CSE 107, 23010.0, MWF, 01:00 PM - 01:50 PM, 4.0, CSE 107 - Intro to Programming Python (M/W/F 01:00 PM - 01:50 PM)
CSE 113, 23006.0, TR, 11:00 AM - 12:15 PM, 4.0, CSE 113 - Introduction to Programming (T/R 11:00 AM - 12:15 PM)
CSE 113, 23109.0, MWF, 09:00 AM - 09:50 AM, 4.0, CSE 113 - Introduction to Programming (M/W/F 09:00 AM - 09:50 AM)
CSE 122, 23004.0, MWF, 02:00 PM - 02:50 PM, 3.0, CSE 122 - Algorithms & Data Structures (M/W/F 02:00 PM - 02:50 PM)
CSE 221, 23005.0, TR, 03:30 PM - 04:45 PM, 3.0, CSE 221 - Computer System Organization (T/R 03:30 PM - 04:45 PM)
CSE 241, 23014.0, MWF, 02:00 PM - 02:50 PM, 3.0, CSE 241 - Foundtns of Computer Science (M/W/F 02:00 PM - 02:50 PM)
CSE 3021, 23462.0, MWF, 11:00 AM - 11:50 AM, 3.0, CSE 3021 - Internet and Web Programming (M/W/F 11:00 AM - 11:50 AM)
CSE 3025, 23463.0, TR, 12:30 PM - 01:45 PM, 4.0, CSE 3025 - Princ. of Operating Systems (T/R 12:30 PM - 01:45 PM)
CSE 3044, 23465.0, MWF, 12:00 PM - 12:50 PM, 4.0, CSE 3044 - Design & Analysis of Algorithm (M/W/F 12:00 PM - 12:50 PM)
CSE 3053, 23467.0, TR, 03:30 PM - 04:45 PM, 3.0, CSE 3053 - Introduct to Computer Networks (T/R 03:30 PM - 04:45 PM)
CSE 3091, 23468.0, W, 05:00 PM - 05:50 PM, 1.0, CSE 3091 - Cybersecurity Professional Dev (W 05:00 PM - 05:50 PM)
CSE 4011, 23469.0, TR, 02:00 PM - 03:15 PM, 3.0, CSE 4011 - Data Science (T/R 02:00 PM - 03:15 PM)
CSE 4041, 23470.0, TR, 11:00 AM - 12:15 PM, 3.0, CSE 4041 - Cryptography and Applications (T/R 11:00 AM - 12:15 PM)
CSE 4064, 23471.0, W, 06:00 PM - 08:30 PM, 3.0, CSE 4064 - Intro to Soft Computing (W 06:00 PM - 08:30 PM)
CSE 4064, 23472.0, W, 06:00 PM - 08:30 PM, 3.0, CSE 4064 - Intro to Soft Computing (W 06:00 PM - 08:30 PM)
CSE 4089, 23476.0, TR, 09:30 AM - 10:45 AM, 3.0, CSE 4089 - Computer Vision (T/R 09:30 AM - 10:45 AM)
COMM 1130, 24334.0, TR, 02:00 PM - 03:15 PM, 3.0, COMM 1130 - g:Public Speaking (T/R 02:00 PM - 03:15 PM)
COMM 5075, 23363.0, W, 03:30 PM - 06:15 PM, 3.0, COMM 5075 - Communication in the Sciences (W 03:30 PM - 06:15 PM)
COMM 5075, 24248.0, W, 03:30 PM - 06:15 PM, 3.0, COMM 5075 - Communication in the Sciences (W 03:30 PM - 06:15 PM)
MATH 3082L, 23420.0, M, 06:30 PM - 07:45 PM, 1.0, MATH 3082L - Probability and Statistics Lab (M 06:30 PM - 07:45 PM)
MATH 3082L, 23438.0, T, 11:00 AM - 12:15 PM, 1.0, MATH 3082L - Probability and Statistics Lab (T 11:00 AM - 12:15 PM)
MATH 4010, 23439.0, TR, 08:00 AM - 09:15 AM, 3.0, MATH 4010 - Numerical Methods I (T/R 08:00 AM - 09:15 AM)
MATH 4030, 23442.0, MWF, 11:00 AM - 11:50 AM, 3.0, MATH 4030 - Mathematical Modeling (M/W/F 11:00 AM - 11:50 AM)
MATH 4035, 24365.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 4035 - Complex Analysis (T/R 09:30 AM - 10:45 AM)
MATH 4037, 24212.0, MWF, 10:00 AM - 10:50 AM, 3.0, MATH 4037 - Systems of ODE's (M/W/F 10:00 AM - 10:50 AM)
MATH 4083, 23443.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 4083 - Mathematical Statistics (T/R 09:30 AM - 10:45 AM)
MATH 5013, 24364.0, TR, 11:00 AM - 12:15 PM, 3.0, MATH 5013 - Adv Topics: Numerical Analysis (T/R 11:00 AM - 12:15 PM)
MATH 5020, 24366.0, MWF, 02:00 PM - 02:50 PM, 3.0, MATH 5020 - Applied Multivariate Analysis (M/W/F 02:00 PM - 02:50 PM)
MATH 5030, 23766.0, MWF, 11:00 AM - 11:50 AM, 3.0, MATH 5030 - Mathematical Modeling (M/W/F 11:00 AM - 11:50 AM)
MATH 5033, 24367.0, TR, 11:00 AM - 12:15 PM, 3.0, MATH 5033 - Partial Differential Equations (T/R 11:00 AM - 12:15 PM)
MATH 5035, 24368.0, TR, 12:30 PM - 01:45 PM, 3.0, MATH 5035 - Methods of Mathematical Physic (T/R 12:30 PM - 01:45 PM)
MATH 5040, 24369.0, MW, 12:35 PM - 01:50 PM, 3.0, MATH 5040 - Calculus of Variations (M/W 12:35 PM - 01:50 PM)
MATH 5089, 24671.0, W, 04:00 PM - 04:50 PM, 1.0, MATH 5089 - Seminar in Math Physics (W 04:00 PM - 04:50 PM)
MENG 5089, 24629.0, MW, 09:00 AM - 10:15 AM, 3.0, MENG 5089 - Elastic Waves Anisotropic  Mat (M/W 09:00 AM - 10:15 AM)
MENG 5089, 24631.0, MW, 09:00 AM - 10:15 AM, 3.0, MENG 5089 - Elastic Waves Anisotropic Mat (M/W 09:00 AM - 10:15 AM)
GEOL 4040L, 23831.0, T, 02:00 PM - 05:00 PM, 1.0, GEOL 4040L - Hydro Theory & Fld Method Lab (T 02:00 PM - 05:00 PM)
GEOL 4062, 24181.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOL 4062 - Mineral Deposits (T/R 09:30 AM - 10:45 AM)
GEOL 4089, 23833.0, F, 02:00 PM - 03:15 PM, 1.0, GEOL 4089 - Dataloggers in Geoscience (F 02:00 PM - 03:15 PM)
GEOL 4089, 23843.0, W, 01:00 PM - 01:50 PM, 1.0, GEOL 4089 - Fndmtls of Sci Comput Sem (W 01:00 PM - 01:50 PM)
GEOL 4089, 24405.0, TR, 08:00 AM - 09:15 AM, 3.0, GEOL 4089 - Defract Mthds & Crystallograph (T/R 08:00 AM - 09:15 AM)
GEOL 4089, 24407.0, TR, 12:30 PM - 01:45 PM, 3.0, GEOL 4089 - Geofluids (T/R 12:30 PM - 01:45 PM)
GEOL 4089, 24559.0, TR, 08:00 AM - 09:15 AM, 3.0, GEOL 4089 - Statistical Method in Envr Sci (T/R 08:00 AM - 09:15 AM)
