EE 521, 31369.0, MWF, 01:00 PM - 01:50 PM, 4.0, EE 521 - Measurement & Instrumentation (M/W/F 01:00 PM - 01:50 PM)
EE 565, 31564.0, TR, 11:00 AM - 12:15 PM, 4.0, EE 565 - Position, Navigation,Timing (T/R 11:00 AM - 12:15 PM)
GEOB 589, 31689.0, T, 02:00 PM - 05:00 PM, 3.0, GEOB 589 - Metagenomic Analysis (T 02:00 PM - 05:00 PM)
GEOB 592, 30742.0, F, 01:00 PM - 01:50 PM, 1.0, GEOB 592 - Graduate Seminar (F 01:00 PM - 01:50 PM)
GEOB 593, 30624.0, F, 12:00 PM - 12:50 PM, 1.0, GEOB 593 - Seminar (F 12:00 PM - 12:50 PM)
EDUC 0189, 31471.0, F, 02:00 PM - 04:00 PM, 2.0, EDUC 0189 - Mentoring and Leadership II (F 02:00 PM - 04:00 PM)
EDUC 189, 31811.0, F, 02:00 PM - 04:00 PM, 1.0, EDUC 189 - Mentoring and Leadership II (F 02:00 PM - 04:00 PM)
EDUC 341, 30593.0, MW, 05:00 PM - 06:15 PM, 3.0, EDUC 341 - Match Teach Strat to Stu Learn (M/W 05:00 PM - 06:15 PM)
EDUC 341, 31778.0, MW, 05:00 PM - 06:15 PM, 3.0, EDUC 341 - Match Teach Strat to Stu Learn (M/W 05:00 PM - 06:15 PM)
EDUC 342, 31172.0, MW, 05:00 PM - 06:15 PM, 3.0, EDUC 342 - Match Teach Strat to Stu Learn (M/W 05:00 PM - 06:15 PM)
EDUC 342, 31779.0, MW, 05:00 PM - 06:15 PM, 3.0, EDUC 342 - Match Teach Strat to Stu Learn (M/W 05:00 PM - 06:15 PM)
EDUC 403, 31174.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 403 - Methods & Practices Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 403, 31724.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 403 - Methods & Practices Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 404, 31176.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 404 - Mthds & Pract Student Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 404, 31177.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 404 - Method & Practices of Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 503, 31178.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 503 - Methods & Practices Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 503, 31725.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 503 - Methods & Practices Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 504, 31180.0, TR, 05:00 PM - 06:15 PM, 3.0, EDUC 504 - Methods & Practices Teaching (T/R 05:00 PM - 06:15 PM)
EDUC 504, 31726.0, MW, 05:00 PM - 06:15 PM, 3.0, EDUC 504 - Methods & Practices Teaching (M/W 05:00 PM - 06:15 PM)
EXPL 447, 31481.0, F, 11:00 AM - 01:30 PM, 3.0, EXPL 447 - Theory of Propellent & Pyrotec (F 11:00 AM - 01:30 PM)
EXPL 447, 31480.0, F, 11:00 AM - 01:30 PM, 3.0, EXPL 447 - Theory of Propellent & Pyrotec (F 11:00 AM - 01:30 PM)
EXPL 449, 31235.0, TR, 09:30 AM - 10:45 AM, 3.0, EXPL 449 - Wave Propagation (T/R 09:30 AM - 10:45 AM)
EXPL 449, 31236.0, TR, 09:30 AM - 10:45 AM, 3.0, EXPL 449 - Wave Propagation (T/R 09:30 AM - 10:45 AM)
TCOM 1120, 25108.0, W, 04:00 PM - 04:50 PM, 1.0, TCOM 1120 - g:Orientation to Technical Com (W 04:00 PM - 04:50 PM)
TCOM 1130, 26454.0, TR, 11:00 AM - 12:15 PM, 3.0, TCOM 1130 - g:Visual Communication (T/R 11:00 AM - 12:15 PM)
